graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
fl2010.mtx;12;S;0.129047;1;945;275;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;13;F;0.042616;-1;-1;-1;3307941.000000;0.000000;3307941.000000;10957096548.000000;10960404489.000000
fl2010.mtx;14;S;0.116312;1;286;73;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;15;F;0.043033;-1;-1;-1;905310.000000;0.000000;905310.000000;10960404489.000000;10961309799.000000
fl2010.mtx;16;S;0.118143;1;106;22;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;17;F;0.042853;-1;-1;-1;245038.000000;0.000000;245038.000000;10961309799.000000;10961554837.000000
fl2010.mtx;18;S;0.118652;1;54;7;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;19;F;0.042161;-1;-1;-1;83235.000000;0.000000;83235.000000;10961554837.000000;10961638072.000000
fl2010.mtx;20;S;0.117476;1;36;6;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;21;F;0.042187;-1;-1;-1;67749.000000;0.000000;67749.000000;10961638072.000000;10961705821.000000
fl2010.mtx;22;S;0.117566;1;18;3;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;23;F;0.043007;-1;-1;-1;27739.000000;0.000000;27739.000000;10961705821.000000;10961733560.000000
fl2010.mtx;24;S;0.116550;1;10;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;25;F;0.042545;-1;-1;-1;22838.000000;0.000000;22838.000000;10961733560.000000;10961756398.000000
fl2010.mtx;26;S;0.118129;1;8;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;27;F;0.042713;-1;-1;-1;22728.000000;0.000000;22728.000000;10961756398.000000;10961779126.000000
fl2010.mtx;28;S;0.118828;1;6;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;29;F;0.056640;-1;-1;-1;22628.000000;0.000000;22628.000000;10961779126.000000;10961801754.000000
fl2010.mtx;30;S;0.124557;1;4;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;31;F;0.041104;-1;-1;-1;22508.000000;0.000000;22508.000000;10961801754.000000;10961824262.000000
fl2010.mtx;32;S;0.121265;1;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;33;F;0.042866;-1;-1;-1;15238.000000;0.000000;15238.000000;10961824262.000000;10961839500.000000
